Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
TCGA.A7.A0CE.11	0.00423314679006722	0	0.0319931399873923	0.0317288507003501	0	0.044139790599487	0	0.0216620785153929	0.000232817801085207	0	0.0114351085741715	0.0108569838796116	0.0229202652543608	0	0.0118606067597461	0.171332670497948	0.00101189289046604	0	0.0644078253483444	0	0	0	9999	0.137197842444322	1.02956669440587	0.427815177598423
TCGA.BH.A1FG.01	0.00959264060376025	0	0.0059445408069056	0.00631863516533295	0	0.0209499016001081	0	0.0077605670608301	0	0	0	2.04197008851187e-05	0.00529722003665829	0	0.011294013921579	0.0487204332462908	0.00047330197155515	0	0.0313511020602307	0	0	0.000250097379007694	9999	0.0105022877896132	1.08030192361027	0.147972873553144
TCGA.A8.A08H.01	0.00408018820195525	0	0	0.0021399641454295	0	0.072498431992785	0	0.00150295197291028	0.00263834241905615	0	0	0.00591688483887665	0.0359359655510126	0.04850067362073	0.0123107832782794	0.294077001997801	0	0	0.0593192375439821	0	0	0.00643106218280671	9999	0.374780726938843	0.939733391122293	0.545351487745625
TCGA.AR.A0TS.01	0.216280050566558	0.0509349742320659	0	0.034133582603533	0.0401450299388493	0.0757133845447708	0.00254174385737204	0.0616402700712677	0.0393926752995468	0	0.0335883173408877	0	0.0129691263367094	0.0526478675429746	0.0998224913315963	0.122821910866335	0	0	0.00450629716616495	0	0	0	9999	0.456014728277468	0.889182011838045	0.847137721698632
TCGA.A2.A3XU.01	0.00729880474936987	0	0.00890299388750606	0.00332613133554486	0	0	0	0.0118253238880034	0.00111758730628433	0	0	0.00065923416995929	0	0.0195129796272483	2.76932345414639e-05	0.0163226835097207	0	0	0.000394832120088713	0	0	0	9999	-0.0199841945718184	1.11167695075042	0.0693882638282669
TCGA.D8.A1XG.01	0.00537014090510117	0	0	0	0.000425235683256452	0.0130685723659604	0	0.00573496219524595	0.00169376371986877	0	0.0077503862991665	0.000590276256966597	0.00202583064541587	0	0.00174291340716986	0.0465868097507828	0.00652218678372366	0	0.0119080610573014	0	0	3.01326990855886e-05	9999	0.068428812241743	1.06632854055926	0.103449271769045
TCGA.BH.A0AY.11	0.0252274198216902	0	0.0779730861855874	0.0170515217277574	0	0.0466737302556531	0	0.0189469166187564	0	0	0	0.0154209489816488	0.005979719478564	0	0.00393183448559735	0.0960782788020369	0	0.00162910574094368	0.0287824609450361	0	0	0	9999	0.0670309063142753	1.03815012872618	0.337695023043271
TCGA.AR.A0TT.01	0.049555092738786	0	0	0.0200549796769819	0	0.131166152336808	0.0043332393342727	0.0521635880111127	0.0516847568257476	0	0.0305426202384484	0	0.00162944087584306	0.170448192226661	0.0691856503005847	0.137404118553494	0	0	0.0286349069137038	0	0	0	9999	0.378518035135178	0.928447579305072	0.746802738032444
TCGA.D8.A1JJ.01	0	0.00192593929019826	0.000168607526950682	0	0	0.0498034859403173	0	0.00678885661045153	0.0153059029136303	0	0.00519904201858302	0.00315614764448797	0	0.0822845297349006	0.00522187806013437	0.0152188120615138	0	0	0.0161526706385354	0	0	0	9999	0.246974202630456	1.00796403602793	0.201225872439703
TCGA.D8.A145.01	0.0411053214221622	0	0.0959618586724907	0.0109073783113449	0	0.0472067208653875	0	0.0259037696949191	0.000104702716273731	0	0.000858085573372654	0	0	0.0361594056875623	0.00945574481009073	0.0609520060742471	0	0	0.0263244469995022	0	0	0	9999	0.0781999331143269	1.03254627534818	0.354939440827353
